Country Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United States,4844520,4807500,4879630,4995210,5066810,5117040,5273490,5543350,5590540,5609020,5775810,5748260,5593029.785,5658990.234,5738290.039,5753490.234,5653080.078,5736319.824,5558379.883,5156430.176,5392109.863,5173600.098,4956060.059,5092100.098,5107209.961,4990709.961,4894500,4819370.117,4975310.059,4817720.215
Uruguay,3850,4370,4770,4490,4270,4690,5450,5560,5780,6780,5460,4950,4530.00021,4489.999771,5460.000038,5420.000076,6329.999924,5849.999905,7750,7670.000076,6280.00021,7610.000134,8520.000458,7360.000134,6500,6639.999866,6519.999981,6099.999905,6539.999962,6489.999771
Uzbekistan,117770,118580,113080,114590,108880,98150,99600,100730,116260,116490,123810,125700,129889.9994,121910.0037,124839.9963,119190.0024,127360.0006,122580.0018,128880.0049,116529.9988,126239.9979,128630.0049,113139.9994,111860.0006,104870.0027,99169.99817,105230.0034,109529.9988,112470.0012,116709.9991
Vanuatu,70,70,60,60,60,70,90,90,80,90,90,90,79.99999821,90.00000358,70.0000003,70.0000003,70.0000003,109.9999994,100.0000015,129.9999952,129.9999952,129.9999952,119.9999973,109.9999994,159.9999964,140.0000006,180.0000072,170.0000018,209.9999934,209.9999934
"Venezuela, RB",101630,100990,103110,107390,106530,114040,121840,127590,129300,125460,131520,135800,140750,135770.0043,139610.0006,147380.0049,147529.9988,142389.9994,151110.0006,152589.9963,164100.0061,160039.9933,181130.0049,180429.9927,179240.0055,163130.0049,151070.0073,140820.0073,132130.0049,112339.9963
Vietnam,19330,19800,20810,24240,26680,31400,35030,40840,45470,46410,51210,56720,66500,70900.00153,85050.00305,92370.00275,94870.00275,105139.9994,117589.9963,132289.9933,151410.0037,155970.0012,155520.0043,164300.0031,180869.9951,220649.9939,223720.0012,230449.9969,285600.0061,336489.9902
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Yemen, Rep.",6640,8500,9130,8550,9340,10530,10800,11640,12460,14060,15030,16070,16090.00015,18700.00076,19629.99916,21110.00061,21920.00008,23270.00046,24219.99931,26569.99969,25430.00031,22950.00076,21010.00023,27829.99992,27430.00031,13550.00019,10850.00038,10010.00023,9720.000267,11100.00038
Zambia,2740,2880,2850,2510,2140,2130,1760,2290,2170,1760,1810,1840,1919.999957,2079.999924,2109.999895,2289.999962,2180.000067,1980.000019,2190.000057,2490.00001,2660.000086,3049.999952,4030.00021,4239.999771,4690.000057,4960.000038,5320.000172,6809.999943,7730.000019,6800.000191
Zimbabwe,16540,18300,18470,17080,15960,15480,14860,13830,14070,15820,13700,13900,12489.99977,10180.00031,9770.000458,10510.00023,9829.999924,9760.000229,7599.999905,7750,9600.000381,11409.99985,12010.00023,12279.99973,12079.99992,12430.00031,11020.00046,10340.00015,12380.00011,11760.00023
