"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,218,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,208,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,206.945675,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,201.499302247,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,213.657253404,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,223.158399212,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,191.152773984,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,162,,
"LUX","Luxembourg","T-GOODS-RL-TOT","Rail freight transport","2021","2021","TONNEKM","Tonnes-kilometres","6","Millions",,,176,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,9895,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,7561,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,7224,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,8669,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,9417,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,9152,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,9676,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,9921,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,10739,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,10326,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,11462,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,11677,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,11670,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,11177,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,11992,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,10474,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,11661,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,12869,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,14478,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,14707,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,15428,,
"TUR","Türkiye","T-GOODS-RL-TOT","Rail freight transport","2021","2021","TONNEKM","Tonnes-kilometres","6","Millions",,,15900,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,426,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,379,,
"GRC","Greece","T-GOODS-RL-TOT","Rail freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,327,,
